accuracy,precision,recall,f1_macro,f1_weighted,f1_binary,auc,seed,fold,experiment
0.774975,0.7605038067487546,0.8055956588838552,0.7747126493600649,0.7747460918592215,0.7824005802006527,0.8541145107318293,42,1,ssl_self_training_lr
0.774225,0.759994356128304,0.8044506397172301,0.7739679166178932,0.7740010763721457,0.7815908486299548,0.8572331622445126,42,2,ssl_self_training_lr
0.769275,0.7515407071034707,0.8074778452653589,0.7688735783307588,0.768914996763338,0.7785057719538244,0.8527258019000772,42,3,ssl_self_training_lr
0.772375,0.7585833372580417,0.8019018221646919,0.7721272223928484,0.7721595330436674,0.7796413272344442,0.8555444727673015,42,4,ssl_self_training_lr
0.76765,0.7500463392029657,0.8058349098874839,0.7672462368100347,0.7672879218452532,0.7769404310468967,0.8520109161818403,42,5,ssl_self_training_lr
0.77435,0.7576519916142558,0.809628117688057,0.7740097852911687,0.7740479279196073,0.7827782056218714,0.854949861538755,123,1,ssl_self_training_lr
0.769825,0.7525064983290011,0.8070891621446706,0.7694416735823991,0.7694825680009537,0.7788426893420768,0.8541920909498409,123,2,ssl_self_training_lr
0.77075,0.7552853133769878,0.8039430449069004,0.7704416520619868,0.7704778293098301,0.778854965513915,0.8548456473460194,123,3,ssl_self_training_lr
0.76965,0.7489694971145919,0.8141491586179428,0.7691180479825518,0.7691657020174482,0.7802003816793893,0.854200769172222,123,4,ssl_self_training_lr
0.771575,0.7596149286290131,0.7974708752364831,0.7713783955652698,0.771407224178035,0.7780827241153183,0.8542247396154354,123,5,ssl_self_training_lr
0.77275,0.7558989156234002,0.8085826654054862,0.772397575284516,0.7724365345605605,0.7813537306970703,0.855381424705009,7,1,ssl_self_training_lr
0.770225,0.7515467725551759,0.8103250858764375,0.7697868720437782,0.769830559301304,0.7798299197508684,0.8544088425513232,7,2,ssl_self_training_lr
0.76735,0.7513992537313433,0.8020511799263168,0.7670109024251348,0.7670491231216465,0.775899436497616,0.851861080911386,7,3,ssl_self_training_lr
0.7738,0.7547544313146234,0.8140495867768595,0.7733662087589527,0.7734088442409298,0.7832814371257485,0.8564073362216468,7,4,ssl_self_training_lr
0.771075,0.7543875983427215,0.8067808423777756,0.7707231332348148,0.7707617554962135,0.7797050544903409,0.8536003855711292,7,5,ssl_self_training_lr
